"ID","longitude","latitude","species","sp","minimum_size","DBH","elevation"
"12KAcos1",604904.4387,647179.7358,"Anisoptera costata","Acos",50,75,85.991
"12KAcos2",604919.2154,647168.705,"Anisoptera costata","Acos",50,63,84.58
"10KDacc1",604793.2842,647441.1995,"Dipterocarpus acutangulus","Dacu",40,56,72.232
"11KDACU1",604819.4056,647268.0378,"Dipterocarpus acutangulus","Dacu",40,80,80.56001
"11KDACU10",604793.4116,647365.6526,"Dipterocarpus acutangulus","Dacu",40,61.5,72.66
"11KDACU11",604941.0098,647375.1146,"Dipterocarpus acutangulus","Dacu",40,80,77.08801
"11KDACU12",604950.2819,647345.6484,"Dipterocarpus acutangulus","Dacu",40,125,82.161
"11KDACU13",604918.9449,647329.012,"Dipterocarpus acutangulus","Dacu",40,101.5,78.288
"11KDACU14",604915.3048,647301.3666,"Dipterocarpus acutangulus","Dacu",40,115.5,85.9
"11KDACU15",604913.4652,647295.8357,"Dipterocarpus acutangulus","Dacu",40,60.3,86.954
"11KDACU16",604926.3854,647295.8575,"Dipterocarpus acutangulus","Dacu",40,96.8,92.595
"11KDACU17",604928.2077,647305.0737,"Dipterocarpus acutangulus","Dacu",40,156,91.995
"11KDACU18",604937.4599,647294.0336,"Dipterocarpus acutangulus","Dacu",40,98,93.66901
"11KDACU19",604930.1313,647260.8542,"Dipterocarpus acutangulus","Dacu",40,122.5,100.08
"11KDACU2",604828.6187,647273.5812,"Dipterocarpus acutangulus","Dacu",40,52,85.484
"11KDACU20",604954.0264,647318.0155,"Dipterocarpus acutangulus","Dacu",40,78,82.097
"11KDACU21",604963.255,647314.3459,"Dipterocarpus acutangulus","Dacu",40,71,85.383
"11KDACU22",604972.4743,647316.2041,"Dipterocarpus acutangulus","Dacu",40,40.6,88.618
"11KDACU23",604957.6758,647340.133,"Dipterocarpus acutangulus","Dacu",40,120,77.90601
"11KDACU24",604976.1099,647353.0625,"Dipterocarpus acutangulus","Dacu",40,57.6,79.991
"11KDACU3",604826.7622,647284.6338,"Dipterocarpus acutangulus","Dacu",40,100,86.174
"11KDACU4",604821.2545,647268.0409,"Dipterocarpus acutangulus","Dacu",40,81.4,81.208
"11KDACU5",604834.1388,647282.8036,"Dipterocarpus acutangulus","Dacu",40,56.2,89.46101
"11KDACU6",604841.5079,647292.0291,"Dipterocarpus acutangulus","Dacu",40,140,90.10201
"11KDACU7",604819.3373,647308.5752,"Dipterocarpus acutangulus","Dacu",40,100,84.47501
"11KDACU8",604830.393,647317.8069,"Dipterocarpus acutangulus","Dacu",40,110,85.773
"11KDACU9",604808.2566,647314.0844,"Dipterocarpus acutangulus","Dacu",40,130,79.76401
"11LDACU1",604989.1529,647273.8521,"Dipterocarpus acutangulus","Dacu",40,90,92.95901
"11LDACU10",605050.0421,647275.7976,"Dipterocarpus acutangulus","Dacu",40,67,86.707
"11LDACU11",605131.2298,647281.4627,"Dipterocarpus acutangulus","Dacu",40,64,96.991
"11LDACU2",605033.4257,647281.2974,"Dipterocarpus acutangulus","Dacu",40,40,83.396
"11LDACU3",605011.2364,647308.8991,"Dipterocarpus acutangulus","Dacu",40,123,91.701
"11LDACU4",605001.9891,647323.6243,"Dipterocarpus acutangulus","Dacu",40,80,91.096
"11LDACU5",605007.4999,647338.3746,"Dipterocarpus acutangulus","Dacu",40,109,90.58701
"11LDACU6",605011.1555,647356.8069,"Dipterocarpus acutangulus","Dacu",40,93.2,89.149
"11LDACU7",605024.0539,647369.727,"Dipterocarpus acutangulus","Dacu",40,100,89.968
"11LDACU8",605031.4136,647384.4803,"Dipterocarpus acutangulus","Dacu",40,57,88.50201
"11LDACU9",605044.3383,647375.2891,"Dipterocarpus acutangulus","Dacu",40,61,88.012
"12IDacu1",604620.4319,647083.4415,"Dipterocarpus acutangulus","Dacu",40,52.7,87.884
"12IDcau1",604500.3969,647142.2033,"Dipterocarpus acutangulus","Dacu",40,53,72.14101
"12JDacu1",604692.3367,647118.5721,"Dipterocarpus acutangulus","Dacu",40,77.5,78.98
"12JDacu10",604778.8443,647245.8581,"Dipterocarpus acutangulus","Dacu",40,51,77.83
"12JDacu11",604784.3955,647236.6544,"Dipterocarpus acutangulus","Dacu",40,115,82.061
"12JDacu12",604784.3986,647234.8118,"Dipterocarpus acutangulus","Dacu",40,77,82.902
"12JDacu13",604777.0034,647247.6976,"Dipterocarpus acutangulus","Dacu",40,70.4,77.14101
"12JDacu14",604614.8993,647081.5896,"Dipterocarpus acutangulus","Dacu",40,62.3,88.206
"12JDacu2",604690.5312,647092.7725,"Dipterocarpus acutangulus","Dacu",40,92,76.76801
"12JDacu3",604699.7803,647083.5751,"Dipterocarpus acutangulus","Dacu",40,99,79.575
"12JDacu4",604723.7205,647107.5693,"Dipterocarpus acutangulus","Dacu",40,69,77.744
"12JDacu5",604782.7719,647109.5114,"Dipterocarpus acutangulus","Dacu",40,120,86.14001
"12JDacu6",604786.3655,647164.7958,"Dipterocarpus acutangulus","Dacu",40,140,91.36
"12JDacu7",604791.8484,647196.1295,"Dipterocarpus acutangulus","Dacu",40,95,87.971
"12JDacu8",604773.3211,647238.4784,"Dipterocarpus acutangulus","Dacu",40,80,78.86
"12JDacu9",604762.2342,647247.6728,"Dipterocarpus acutangulus","Dacu",40,105,71.315
"12KDacu1",604980.0114,647225.9287,"Dipterocarpus acutangulus","Dacu",40,120,84.14101
"12KDacu10",604924.7076,647194.511,"Dipterocarpus acutangulus","Dacu",40,63,99.297
"12KDacu11",604930.2774,647174.2516,"Dipterocarpus acutangulus","Dacu",40,120.5,91.80601
"12KDacu12",604926.5907,647174.2453,"Dipterocarpus acutangulus","Dacu",40,75,89.995
"12KDacu13",604976.4459,647154.0608,"Dipterocarpus acutangulus","Dacu",40,110.8,84.735
"12KDacu14",604972.8041,647120.8876,"Dipterocarpus acutangulus","Dacu",40,90.7,73.106
"12KDacu15",604978.3491,647115.3691,"Dipterocarpus acutangulus","Dacu",40,58,69.46101
"12KDacu16",604965.443,647113.5046,"Dipterocarpus acutangulus","Dacu",40,110,77.82201
"12KDacu17",604908.2467,647107.8803,"Dipterocarpus acutangulus","Dacu",40,125,106.441
"12KDacu18",604913.7886,647104.2045,"Dipterocarpus acutangulus","Dacu",40,120.3,106.172
"12KDacu19",604904.4946,647146.5688,"Dipterocarpus acutangulus","Dacu",40,57.9,94.832
"12KDacu2",604948.5903,647259.0427,"Dipterocarpus acutangulus","Dacu",40,129,94.69501
"12KDacu20",604893.445,647133.652,"Dipterocarpus acutangulus","Dacu",40,100.5,102.85001
"12KDacu21",604897.1038,647150.2417,"Dipterocarpus acutangulus","Dacu",40,60.1,93.095
"12KDacu22",604902.6239,647159.464,"Dipterocarpus acutangulus","Dacu",40,61.5,84.492
"12KDacu23",604887.8938,647142.8557,"Dipterocarpus acutangulus","Dacu",40,128.4,98.46201
"12KDacu24",604906.3045,647163.1554,"Dipterocarpus acutangulus","Dacu",40,90.2,81.633
"12KDacu25",604898.9621,647144.717,"Dipterocarpus acutangulus","Dacu",40,115,96.42001
"12KDacu26",604895.314,647115.229,"Dipterocarpus acutangulus","Dacu",40,57.5,105.94601
"12KDacu27",604891.6054,647128.121,"Dipterocarpus acutangulus","Dacu",40,78,105.564
"12KDacu28",604880.5248,647133.6302,"Dipterocarpus acutangulus","Dacu",40,85,104.592
"12KDacu29",604878.6448,647152.0531,"Dipterocarpus acutangulus","Dacu",40,65,94.07201
"12KDacu3",604909.8717,647240.5512,"Dipterocarpus acutangulus","Dacu",40,120,98.37601
"12KDacu30",604849.0944,647172.2721,"Dipterocarpus acutangulus","Dacu",40,100,89.55901
"12KDacu31",604830.6167,647185.1391,"Dipterocarpus acutangulus","Dacu",40,55,79.61201
"12KDacu32",604810.354,647166.6789,"Dipterocarpus acutangulus","Dacu",40,120,92.537
"12KDacu33",604823.2601,647168.5432,"Dipterocarpus acutangulus","Dacu",40,90,89.76601
"12KDacu34",604850.954,647159.3769,"Dipterocarpus acutangulus","Dacu",40,70.5,96.50401
"12KDacu35",604814.0905,647137.2034,"Dipterocarpus acutangulus","Dacu",40,140.5,89.164
"12KDacu36",604797.3841,647196.1388,"Dipterocarpus acutangulus","Dacu",40,110,85.191
"12KDacu37",604801.0522,647207.2007,"Dipterocarpus acutangulus","Dacu",40,87.8,78.15701
"12KDacu38",604812.3099,647096.6628,"Dipterocarpus acutangulus","Dacu",40,115,88.64001
"12KDacu39",604804.9271,647102.1782,"Dipterocarpus acutangulus","Dacu",40,52,89.314
"12KDacu4",604887.7508,647227.6157,"Dipterocarpus acutangulus","Dacu",40,120,100.67001
"12KDacu40",604836.3015,647096.7033,"Dipterocarpus acutangulus","Dacu",40,60,80.538
"12KDacu41",604834.4495,647098.5428,"Dipterocarpus acutangulus","Dacu",40,100,80.568
"12KDacu42",604867.676,647091.2283,"Dipterocarpus acutangulus","Dacu",40,130.8,87.116
"12KDacu43",604860.2683,647111.4847,"Dipterocarpus acutangulus","Dacu",40,105,96.636
"12KDacu44",604849.1752,647124.3642,"Dipterocarpus acutangulus","Dacu",40,48.5,96.80901
"12KDacu45",604832.5682,647124.3362,"Dipterocarpus acutangulus","Dacu",40,80.3,88.94501
"12KDacu5",604898.7755,647255.2735,"Dipterocarpus acutangulus","Dacu",40,112,90.61401
"12KDacu6",604865.602,647231.2635,"Dipterocarpus acutangulus","Dacu",40,55,97.44401
"12KDacu7",604878.5515,647207.3313,"Dipterocarpus acutangulus","Dacu",40,140,90.41601
"12KDacu8",604885.9734,647185.2325,"Dipterocarpus acutangulus","Dacu",40,80,80.951
"12KDacu9",604917.3385,647185.2854,"Dipterocarpus acutangulus","Dacu",40,154.4,93.35201
"12LDacu1",605086.985,647257.4338,"Dipterocarpus acutangulus","Dacu",40,140,87.21101
"12LDacu10",605007.6617,647242.5589,"Dipterocarpus acutangulus","Dacu",40,153,87.605
"12LDacu11",604983.8163,647155.9159,"Dipterocarpus acutangulus","Dacu",40,53,85.80601
"12LDacu2",605103.6169,647242.7211,"Dipterocarpus acutangulus","Dacu",40,60,92.28001
"12LDacu3",605083.4118,647183.7233,"Dipterocarpus acutangulus","Dacu",40,118,96.89301
"12LDacu4",605039.0828,647209.445,"Dipterocarpus acutangulus","Dacu",40,119,99.271
"12LDacu5",605031.7124,647207.5899,"Dipterocarpus acutangulus","Dacu",40,110,95.372
"12LDacu6",605051.9252,647255.5321,"Dipterocarpus acutangulus","Dacu",40,121,95.49901
"12LDacu7",604987.4115,647216.7282,"Dipterocarpus acutangulus","Dacu",40,65,91.18001
"12LDacu8",604983.6359,647262.7871,"Dipterocarpus acutangulus","Dacu",40,95,94.759
"12LDacu9",605024.2998,647224.1609,"Dipterocarpus acutangulus","Dacu",40,120,95.536
"12QDacu1",606090.9872,647137.5261,"Dipterocarpus acutangulus","Dacu",40,90,115.704
"8PDacu1",605822.0557,647947.82,"Dipterocarpus acutangulus","Dacu",40,82.3,82.316
"9JDcau8",604669.2974,647651.0484,"Dipterocarpus acutangulus","Dacu",40,NA,68.729
"9JDapp1",604744.9658,647640.1202,"Dipterocarpus applanatus","Dapp",40,83.5,68.98
"9JDapp2",604615.5945,647767.0425,"Dipterocarpus applanatus","Dapp",40,48,70.367
"9JDapp3",604731.771,647809.6183,"Dipterocarpus applanatus","Dapp",40,61,67.829
"10HDcau01",604422.1082,647611.9376,"Dipterocarpus caudiferus","Dcau",40,52,68.94801
"10HDcau02",604435.1226,647549.3107,"Dipterocarpus caudiferus","Dcau",40,65,69.02901
"10HDcau03",604429.5715,647558.5145,"Dipterocarpus caudiferus","Dcau",40,129,71.75401
"10HDcau04",604263.3728,647635.6251,"Dipterocarpus caudiferus","Dcau",40,40,82.244
"10HDcau05",604431.4452,647543.7767,"Dipterocarpus caudiferus","Dcau",40,90,69.041
"10HDcau06",604437.0303,647514.3043,"Dipterocarpus caudiferus","Dcau",40,60,72.556
"10IDcau01",604475.6807,647573.3328,"Dipterocarpus caudiferus","Dcau",40,100,69.513
"10IDcau03",604483.0962,647554.9192,"Dipterocarpus caudiferus","Dcau",40,67.4,68.51501
"10IDcau04",604462.8101,647543.8294,"Dipterocarpus caudiferus","Dcau",40,70,69.021
"10IDcau05",604588.4499,647450.0675,"Dipterocarpus caudiferus","Dcau",40,60.7,67.827
"10IDcau06",604446.327,647470.0973,"Dipterocarpus caudiferus","Dcau",40,88,71.411
"10JDcau1",604710.1688,647488.9673,"Dipterocarpus caudiferus","Dcau",40,64,73.831
"10JDcau3",604704.6798,647461.3188,"Dipterocarpus caudiferus","Dcau",40,64,73.187
"10JDcau4",604700.9416,647485.2665,"Dipterocarpus caudiferus","Dcau",40,60.2,70.21301
"10JDcau5",604761.9268,647430.0909,"Dipterocarpus caudiferus","Dcau",40,72,68.65501
"10JDcau6",604752.5647,647512.9927,"Dipterocarpus caudiferus","Dcau",40,60,68.709
"10JDcau7",604747.0477,647501.9278,"Dipterocarpus caudiferus","Dcau",40,53.3,68.92001
"10KDcau1",604865.1979,647470.8026,"Dipterocarpus caudiferus","Dcau",40,53,68.40601
"10KDcau4",604966.4719,647592.5861,"Dipterocarpus caudiferus","Dcau",40,92,73.235
"10KDcau5",604918.4845,647601.7181,"Dipterocarpus caudiferus","Dcau",40,80,67.62901
"10KDcau6",604901.9212,647575.8936,"Dipterocarpus caudiferus","Dcau",40,68,74.273
"10KDcau7",604822.5454,647592.3431,"Dipterocarpus caudiferus","Dcau",40,80,67.505
"10NDcau1",605378.1735,647466.1424,"Dipterocarpus caudiferus","Dcau",40,57.6,64.05901
"10NDcau2",605413.0082,647600.7124,"Dipterocarpus caudiferus","Dcau",40,87.5,64.04401
"10ODcau1",605593.9388,647540.2132,"Dipterocarpus caudiferus","Dcau",40,76,69.16
"10ODcau2",605568.1564,647512.5301,"Dipterocarpus caudiferus","Dcau",40,44.8,80.194
"10ODcau3",605579.2872,647477.5394,"Dipterocarpus caudiferus","Dcau",40,63,68.78001
"10ODcau4",605673.387,647481.3845,"Dipterocarpus caudiferus","Dcau",40,40,58.799
"10ODcau5",605674.9836,647623.2687,"Dipterocarpus caudiferus","Dcau",40,95,66.208
"10PDcau1",605845.1223,647619.8731,"Dipterocarpus caudiferus","Dcau",40,46.9,62.263
"10PDcau2",605838.4871,647615.4395,"Dipterocarpus caudiferus","Dcau",40,49.8,62.053
"10PDcau3",605821.8707,647620.9391,"Dipterocarpus caudiferus","Dcau",40,74,59.063
"10PDcau4",605849.5904,647596.6637,"Dipterocarpus caudiferus","Dcau",40,44.2,63.206
"10PDcau5",605782.1854,647520.2646,"Dipterocarpus caudiferus","Dcau",40,53.5,61.757
"10PDcau6",605826.512,647496.0175,"Dipterocarpus caudiferus","Dcau",40,100,59.942
"10QDcau1",606025.8684,647453.7313,"Dipterocarpus caudiferus","Dcau",40,95,63.42
"10QDcau2",606031.7096,647638.0032,"Dipterocarpus caudiferus","Dcau",40,56.5,59.953
"10QDcau3",606013.4791,647505.9178,"Dipterocarpus caudiferus","Dcau",40,48.7,61.825
"11HDCAU",604371.0235,647263.5983,"Dipterocarpus caudiferus","Dcau",40,76.5,72.01601
"11IDCAU1",604448.501,647276.6267,"Dipterocarpus caudiferus","Dcau",40,89,68.937
"11IDCAU10",604546.1483,647363.3936,"Dipterocarpus caudiferus","Dcau",40,72,68.065
"11IDCAU11",604544.3259,647354.1775,"Dipterocarpus caudiferus","Dcau",40,100,69.096
"11IDCAU12",604571.9112,647409.5023,"Dipterocarpus caudiferus","Dcau",40,42.5,68.611
"11IDCAU13",604555.3135,647403.9465,"Dipterocarpus caudiferus","Dcau",40,116.4,68.771
"11IDCAU14",604518.3306,647446.2643,"Dipterocarpus caudiferus","Dcau",40,62.2,68.843
"11IDCAU15",604525.8577,647361.5168,"Dipterocarpus caudiferus","Dcau",40,160,68.58
"11IDCAU16",604511.0687,647379.9181,"Dipterocarpus caudiferus","Dcau",40,69.5,68.43201
"11IDCAU17",604433.4984,647422.1678,"Dipterocarpus caudiferus","Dcau",40,52.5,71.59901
"11IDCAU18",604420.5411,647444.2573,"Dipterocarpus caudiferus","Dcau",40,42.5,69.01601
"11IDCAU2",604455.8113,647320.8617,"Dipterocarpus caudiferus","Dcau",40,49.5,69.36301
"11IDCAU3",604505.691,647285.9359,"Dipterocarpus caudiferus","Dcau",40,120,69.648
"11IDCAU4",604533.4188,647256.5006,"Dipterocarpus caudiferus","Dcau",40,49.5,72.192
"11IDCAU5",604557.2692,647333.9305,"Dipterocarpus caudiferus","Dcau",40,65,71.35001
"11IDCAU6",604551.718,647343.1343,"Dipterocarpus caudiferus","Dcau",40,95.5,68.967
"11IDCAU7",604549.9019,647330.2329,"Dipterocarpus caudiferus","Dcau",40,65,70.32401
"11IDCAU8",604537.0405,647295.2016,"Dipterocarpus caudiferus","Dcau",40,42,71.394
"11IDCAU9",604548.118,647291.535,"Dipterocarpus caudiferus","Dcau",40,42.5,73.37901
"11JDCAU1",604640.2171,647385.6632,"Dipterocarpus caudiferus","Dcau",40,42,69.648
"11JDCAU2",604682.6334,647404.1608,"Dipterocarpus caudiferus","Dcau",40,105,77.442
"11JDCAU3",604682.5962,647426.2721,"Dipterocarpus caudiferus","Dcau",40,76.3,77.19701
"11JDCAU4",604686.2798,647428.1208,"Dipterocarpus caudiferus","Dcau",40,75,76.972
"11JDCAU5",604682.6427,647398.633,"Dipterocarpus caudiferus","Dcau",40,49.8,77.619
"11JDCAU6",604721.3364,647431.8652,"Dipterocarpus caudiferus","Dcau",40,46.5,68.248
"11JDCAU7",604758.3177,647384.0195,"Dipterocarpus caudiferus","Dcau",40,45.7,73.856
"11KDCAU1",604964.9888,647382.5256,"Dipterocarpus caudiferus","Dcau",40,58,77.19901
"11MDcau1",605299.0628,647325.9695,"Dipterocarpus caudiferus","Dcau",40,78.5,60.87
"11NDcau1",605474.1911,647429.4529,"Dipterocarpus caudiferus","Dcau",40,130,61.701
"11NDcau10",605361.8883,647276.3253,"Dipterocarpus caudiferus","Dcau",40,60.6,59.168
"11NDcau11",605356.3682,647267.1029,"Dipterocarpus caudiferus","Dcau",40,97.5,63.196
"11NDcau2",605536.9368,647420.3463,"Dipterocarpus caudiferus","Dcau",40,46.5,67.468
"11NDcau3",605507.4488,647403.7127,"Dipterocarpus caudiferus","Dcau",40,45,57.543
"11NDcau4",605511.1355,647403.719,"Dipterocarpus caudiferus","Dcau",40,54.2,58.918
"11NDcau5",605527.7206,647416.6455,"Dipterocarpus caudiferus","Dcau",40,91.8,68.773
"11NDcau6",605525.9468,647372.4197,"Dipterocarpus caudiferus","Dcau",40,90,57.688
"11NDcau7",605470.6683,647326.2604,"Dipterocarpus caudiferus","Dcau",40,43.5,61.779
"11NDcau8",605481.6521,647377.8723,"Dipterocarpus caudiferus","Dcau",40,56.1,66.136
"11NDcau9",605367.3084,647344.5113,"Dipterocarpus caudiferus","Dcau",40,78.5,67.35101
"11ODcau1",605703.8141,647381.9349,"Dipterocarpus caudiferus","Dcau",40,46.8,58.391
"11ODcau2",605670.7655,647284.5885,"Dipterocarpus caudiferus","Dcau",40,65.4,63.431
"11ODcau3",605570.9432,647390.5537,"Dipterocarpus caudiferus","Dcau",40,71,59.25
"12HDcau1",604420.962,647193.663,"Dipterocarpus caudiferus","Dcau",40,100,70.08601
"12HDcau2",604325.146,647110.5846,"Dipterocarpus caudiferus","Dcau",40,105.4,70.262
"12LDcau1",605013.3934,647126.4839,"Dipterocarpus caudiferus","Dcau",40,120,59.876
"12LDcau2",605050.3222,647109.9628,"Dipterocarpus caudiferus","Dcau",40,54,69.35001
"12LDcau3",605030.0036,647124.6693,"Dipterocarpus caudiferus","Dcau",40,49,63.169
"12LDcau4",605017.0895,647120.9623,"Dipterocarpus caudiferus","Dcau",40,53,60.282
"12LDcau5",605050.3098,647117.3333,"Dipterocarpus caudiferus","Dcau",40,51,73.429
"12LDcau6",605024.5083,647100.7061,"Dipterocarpus caudiferus","Dcau",40,66,65.55901
"12LDcau7",604994.9966,647091.4432,"Dipterocarpus caudiferus","Dcau",40,66,59.392
"12LDcau8",605061.431,647087.8702,"Dipterocarpus caudiferus","Dcau",40,94,60.814
"12PDcau1",605863.2268,647247.695,"Dipterocarpus caudiferus","Dcau",40,62,75.714
"8HDcau1",604418.0388,647833.0442,"Dipterocarpus caudiferus","Dcau",40,47,81.707
"8HDcau2",604423.5713,647834.8961,"Dipterocarpus caudiferus","Dcau",40,50,82.108
"8HDcau4",604379.2029,647884.5721,"Dipterocarpus caudiferus","Dcau",40,89.5,75.64301
"8HDcau5",604386.4604,647960.1313,"Dipterocarpus caudiferus","Dcau",40,90,70.537
"8HDcau6",604403.0734,647956.474,"Dipterocarpus caudiferus","Dcau",40,94,75.076
"8HDcau7",604332.9348,647971.097,"Dipterocarpus caudiferus","Dcau",40,55,78.04301
"8HDcau8",604349.6902,647882.6798,"Dipterocarpus caudiferus","Dcau",40,77,75.524
"8IDcau1",604440.0325,647921.5265,"Dipterocarpus caudiferus","Dcau",40,85,72.777
"8IDcau2",604600.5773,647914.4262,"Dipterocarpus caudiferus","Dcau",40,100.5,72.343
"8IDcau3",604436.2312,647989.6968,"Dipterocarpus caudiferus","Dcau",40,95,79.72701
"8IDcau4",604428.8281,648000.74,"Dipterocarpus caudiferus","Dcau",40,66,79.008
"8IDkun1",604510.1916,647901.3758,"Dipterocarpus caudiferus","Dcau",40,93.7,73.61301
"8JDcau1",604698.5107,647837.2015,"Dipterocarpus caudiferus","Dcau",40,85,68.636
"8JDcau2",604624.6586,647861.031,"Dipterocarpus caudiferus","Dcau",40,46.5,78.96101
"8JDcau3",604650.4753,647868.445,"Dipterocarpus caudiferus","Dcau",40,100,76.93
"8JDcau4",604788.9028,647846.567,"Dipterocarpus caudiferus","Dcau",40,70,66.85101
"8JDcau5",604748.2349,647894.4064,"Dipterocarpus caudiferus","Dcau",40,90,69.8
"8JDcau6",604738.9766,647909.1316,"Dipterocarpus caudiferus","Dcau",40,79,72.35201
"8JDcau7",604736.9928,647995.7312,"Dipterocarpus caudiferus","Dcau",40,85,70.189
"8KDcau1",604892.2726,647828.3153,"Dipterocarpus caudiferus","Dcau",40,67.5,67.41801
"8KDcau2",604949.479,647821.0415,"Dipterocarpus caudiferus","Dcau",40,96,67.578
"8KDcau3",604943.8376,647883.6809,"Dipterocarpus caudiferus","Dcau",40,67.5,67.555
"8KDcau4",604862.7146,647846.6916,"Dipterocarpus caudiferus","Dcau",40,81,67.16801
"8KDcau5",604958.5505,647916.8728,"Dipterocarpus caudiferus","Dcau",40,120,67.174
"8KDcau6",604886.4725,647984.9278,"Dipterocarpus caudiferus","Dcau",40,78,66.464
"8LDCAU1",604990.0804,647819.2675,"Dipterocarpus caudiferus","Dcau",40,85,67.579
"8LDCAU10",605174.4985,647882.2284,"Dipterocarpus caudiferus","Dcau",40,95,70.50401
"8LDCAU11",605155.9461,647939.318,"Dipterocarpus caudiferus","Dcau",40,50.5,69.189
"8LDCAU12",605126.4472,647922.6846,"Dipterocarpus caudiferus","Dcau",40,43,72.10201
"8LDCAU13",605085.7229,648003.6907,"Dipterocarpus caudiferus","Dcau",40,80,68.551
"8LDCAU14",605089.4595,647974.2152,"Dipterocarpus caudiferus","Dcau",40,61,73.26601
"8LDCAU15",605087.5857,647988.9529,"Dipterocarpus caudiferus","Dcau",40,94.4,71.841
"8LDCAU16",605087.5982,647981.5825,"Dipterocarpus caudiferus","Dcau",40,123,72.498
"8LDCAU17",605104.2549,647952.1289,"Dipterocarpus caudiferus","Dcau",40,85.9,75.397
"8LDCAU18",605067.2891,647990.7613,"Dipterocarpus caudiferus","Dcau",40,66,66.625
"8LDCAU2",605015.8503,647854.3207,"Dipterocarpus caudiferus","Dcau",40,65,67.376
"8LDCAU3",605032.4447,647861.7193,"Dipterocarpus caudiferus","Dcau",40,99.5,70.13
"8LDCAU4",605028.7549,647863.5557,"Dipterocarpus caudiferus","Dcau",40,71,68.939
"8LDCAU5",605041.6033,647905.9575,"Dipterocarpus caudiferus","Dcau",40,68.7,68.049
"8LDCAU6",605102.6291,647826.8282,"Dipterocarpus caudiferus","Dcau",40,45.4,70.05801
"8LDCAU7",605161.6626,647832.456,"Dipterocarpus caudiferus","Dcau",40,116.4,67.737
"8LDCAU8",605132.0701,647871.1008,"Dipterocarpus caudiferus","Dcau",40,113,66.98801
"8LDCAU9",605168.9598,647884.0616,"Dipterocarpus caudiferus","Dcau",40,100,70.314
"8MDcau1",605357.1393,647902.8067,"Dipterocarpus caudiferus","Dcau",40,65,73.478
"8MDcau2",605270.2981,647967.151,"Dipterocarpus caudiferus","Dcau",40,40,69.869
"8MDcau3",605268.4415,647978.2036,"Dipterocarpus caudiferus","Dcau",40,42.5,69.594
"8NDcau1",605489.8908,647963.8384,"Dipterocarpus caudiferus","Dcau",40,75,74.992
"8ODcau1",605678.0764,647978.8993,"Dipterocarpus caudiferus","Dcau",40,110,74.704
"8PDcau1",605738.9796,647972.2467,"Dipterocarpus caudiferus","Dcau",40,95.8,74.15
"8PDcau2",605886.8122,647843.5152,"Dipterocarpus caudiferus","Dcau",40,55,60.775
"8PDcau3",605726.6691,647978.3677,"Dipterocarpus caudiferus","Dcau",40,80,76.859
"8QDcau1",605898.9919,647914.1697,"Dipterocarpus caudiferus","Dcau",40,63.1,61.655
"8QDcau10",605948.104,647972.6031,"Dipterocarpus caudiferus","Dcau",40,110,63.099
"8QDcau11",605948.235,647895.8274,"Dipterocarpus caudiferus","Dcau",40,85,67.25401
"8QDcau12",605985.0778,647929.6717,"Dipterocarpus caudiferus","Dcau",40,85,66.243
"8QDcau13",605966.6797,647895.8589,"Dipterocarpus caudiferus","Dcau",40,56.5,63.897
"8QDcau2",605994.4312,647852.9119,"Dipterocarpus caudiferus","Dcau",40,53.3,61.865
"8QDcau3",605991.2748,647898.9719,"Dipterocarpus caudiferus","Dcau",40,79,72.90401
"8QDcau4",606015.9123,647883.6588,"Dipterocarpus caudiferus","Dcau",40,70,67.716
"8QDcau5",606074.3878,647853.0484,"Dipterocarpus caudiferus","Dcau",40,42.3,60.724
"8QDcau6",606080.4123,647929.8345,"Dipterocarpus caudiferus","Dcau",40,115,63.151
"8QDcau7",606064.9923,647954.3764,"Dipterocarpus caudiferus","Dcau",40,70,62.879
"8QDcau8",606055.8277,647920.5794,"Dipterocarpus caudiferus","Dcau",40,70,62.125
"8QDcau9",606051.6421,647920.9408,"Dipterocarpus caudiferus","Dcau",40,101,62.08
"9HDcau01",604440.2308,647803.5997,"Dipterocarpus caudiferus","Dcau",40,110,83.658
"9HDcau02",604418.0729,647812.7755,"Dipterocarpus caudiferus","Dcau",40,120,77.978
"9HDcau03",604325.8753,647777.611,"Dipterocarpus caudiferus","Dcau",40,72,74.302
"9HDcau04",604298.3736,647672.536,"Dipterocarpus caudiferus","Dcau",40,70,72.417
"9HDcau05",604370.3025,647692.9255,"Dipterocarpus caudiferus","Dcau",40,63.5,76.71101
"9IDcau01",604610.1892,647689.6437,"Dipterocarpus caudiferus","Dcau",40,49,69.90401
"9IDcau02",604571.5298,647636.1429,"Dipterocarpus caudiferus","Dcau",40,70,78.607
"9IDcau03",604582.4243,647741.1901,"Dipterocarpus caudiferus","Dcau",40,98,69.438
"9IDcau04",604576.8297,647776.1903,"Dipterocarpus caudiferus","Dcau",40,100,80.82401
"9IDcau05",604480.8661,647781.5567,"Dipterocarpus caudiferus","Dcau",40,56.3,79.176
"9IDcau06",604530.6246,647818.4927,"Dipterocarpus caudiferus","Dcau",40,87.4,73.052
"9JDcau1",604803.9484,647682.5998,"Dipterocarpus caudiferus","Dcau",40,120,67.478
"9JDcau3",604691.415,647665.8265,"Dipterocarpus caudiferus","Dcau",40,66.7,66.92001
"9JDcau6",604693.118,647752.4323,"Dipterocarpus caudiferus","Dcau",40,66,68.413
